
;;;;;;;;;;
Código;Región;Nombre comuna;Número de personas según proyecciones de población (*);Número de personas en situación de pobreza por ingresos (**);Porcentaje de personas en situación de pobreza por ingresos 2020;Límite inferior;Límite superior;Presencia de la comuna en la muestra Casen;Tipo de estimación SAE (***);
10210;X de los Lagos;Quinchao;8.285;1.180;14,24%;10,90%;17,58%;Si;Directa y Sintética (Fay-Herriot);
10301;X de los Lagos;Osorno;173.766;18.302;10,53%;8,60%;12,46%;Si;Directa y Sintética (Fay-Herriot);
10302;X de los Lagos;Puerto Octay;9.182;1.269;13,82%;10,08%;17,55%;Si;Sintética;
10303;X de los Lagos;Purranque;21.080;2.445;11,60%;8,51%;14,69%;Si;Directa y Sintética (Fay-Herriot);
10304;X de los Lagos;Puyehue;11.793;1.731;14,68%;11,27%;18,09%;Si;Directa y Sintética (Fay-Herriot);
10305;X de los Lagos;Río Negro;14.255;1.902;13,34%;9,82%;16,86%;Si;Sintética;
10306;X de los Lagos;San Juan De La Costa;7.629;1.695;22,22%;17,35%;27,10%;Si;Directa y Sintética (Fay-Herriot);
10307;X de los Lagos;San Pablo;10.546;1.299;12,32%;9,07%;15,57%;Si;Directa y Sintética (Fay-Herriot);
10401;X de los Lagos;Chaitén;5.031;519;10,32%;6,71%;13,93%;No;Sintética;
10402;X de los Lagos;Futaleufú;2.812;378;13,43%;8,46%;18,40%;No;Sintética;
10403;X de los Lagos;Hualaihué;9.524;1.222;12,83%;9,36%;16,30%;No;Sintética;
10404;X de los Lagos;Palena;1.822;236;12,93%;8,94%;16,93%;No;Sintética;
11101;XI Aysén del General Carlos Ibáñez del Campo;Coyhaique;61.319;3.591;5,86%;4,90%;6,81%;Si;Directa y Sintética (Fay-Herriot);
11102;XI Aysén del General Carlos Ibáñez del Campo;Lago Verde;918;56;6,10%;3,05%;9,15%;No;Sintética;
11201;XI Aysén del General Carlos Ibáñez del Campo;Aysén;24.984;1.729;6,92%;5,58%;8,26%;Si;Directa y Sintética (Fay-Herriot);
11202;XI Aysén del General Carlos Ibáñez del Campo;Cisnes;5.830;484;8,31%;5,00%;11,61%;Si;Sintética;
11203;XI Aysén del General Carlos Ibáñez del Campo;Guaitecas;1.609;118;7,32%;3,98%;10,66%;No;Sintética;
11301;XI Aysén del General Carlos Ibáñez del Campo;Cochrane;3.689;362;9,83%;5,71%;13,94%;Si;Sintética;
11302;XI Aysén del General Carlos Ibáñez del Campo;O’higgins;668;9;1,40%;-0,41%;3,21%;No;Sintética;
11303;XI Aysén del General Carlos Ibáñez del Campo;Tortel;568;34;5,93%;1,86%;10,01%;No;Sintética;
11401;XI Aysén del General Carlos Ibáñez del Campo;Chile Chico;5.129;326;6,36%;3,27%;9,44%;Si;Sintética;
11402;XI Aysén del General Carlos Ibáñez del Campo;Río Ibáñez;2.701;392;14,52%;8,25%;20,80%;Si;Sintética;
12101;XII de Magallanes y Antártica Chilena;Punta Arenas;142.461;7.655;5,37%;4,24%;6,51%;Si;Directa y Sintética (Fay-Herriot);
12102;XII de Magallanes y Antártica Chilena;Laguna Blanca;261;13;5,00%;1,12%;8,87%;No;Sintética;
12103;XII de Magallanes y Antártica Chilena;Río Verde;214;28;13,18%;7,25%;19,11%;No;Sintética;
12104;XII de Magallanes y Antártica Chilena;San Gregorio;677;53;7,83%;2,81%;12,86%;No;Sintética;
12201;XII de Magallanes y Antártica Chilena;Cabo De Hornos;1.990;62;3,14%;0,02%;6,26%;No;Sintética;
12301;XII de Magallanes y Antártica Chilena;Porvenir;7.365;605;8,21%;3,78%;12,63%;Si;Sintética;
12302;XII de Magallanes y Antártica Chilena;Primavera;686;58;8,38%;3,88%;12,88%;No;Sintética;
12303;XII de Magallanes y Antártica Chilena;Timaukel;269;14;5,18%;0,93%;9,43%;No;Sintética;
12401;XII de Magallanes y Antártica Chilena;Natales;23.883;1.553;6,50%;4,24%;8,77%;Si;Directa y Sintética (Fay-Herriot);
12402;XII de Magallanes y Antártica Chilena;Torres Del Paine;1.029;71;6,90%;1,55%;12,25%;No;Sintética;
13101;XIII Metropolitana de Santiago;Santiago;508.785;42.810;8,41%;6,23%;10,60%;Si;Directa y Sintética (Fay-Herriot);
13102;XIII Metropolitana de Santiago;Cerrillos;89.174;8.060;9,04%;6,21%;11,87%;Si;Directa y Sintética (Fay-Herriot);
13103;XIII Metropolitana de Santiago;Cerro Navia;142.391;18.400;12,92%;9,37%;16,47%;Si;Directa y Sintética (Fay-Herriot);
13104;XIII Metropolitana de Santiago;Conchalí;139.274;17.347;12,46%;9,15%;15,76%;Si;Directa y Sintética (Fay-Herriot);
13105;XIII Metropolitana de Santiago;El Bosque;171.889;21.583;12,56%;9,42%;15,69%;Si;Directa y Sintética (Fay-Herriot);
13106;XIII Metropolitana de Santiago;Estación Central;209.920;24.535;11,69%;8,62%;14,76%;Si;Directa y Sintética (Fay-Herriot);
13107;XIII Metropolitana de Santiago;Huechuraba;113.321;9.350;8,25%;5,44%;11,06%;Si;Directa y Sintética (Fay-Herriot);
13108;XIII Metropolitana de Santiago;Independencia;144.380;20.119;13,93%;10,28%;17,59%;Si;Directa y Sintética (Fay-Herriot);
13109;XIII Metropolitana de Santiago;La Cisterna;100.695;7.862;7,81%;5,41%;10,20%;Si;Directa y Sintética (Fay-Herriot);
13110;XIII Metropolitana de Santiago;La Florida;403.516;32.337;8,01%;5,80%;10,23%;Si;Directa y Sintética (Fay-Herriot);
13111;XIII Metropolitana de Santiago;La Granja;122.327;14.610;11,94%;8,80%;15,09%;Si;Directa y Sintética (Fay-Herriot);
13112;XIII Metropolitana de Santiago;La Pintana;189.347;29.038;15,34%;11,77%;18,90%;Si;Directa y Sintética (Fay-Herriot);
13113;XIII Metropolitana de Santiago;La Reina;100.328;4.709;4,69%;2,72%;6,67%;Si;Directa y Sintética (Fay-Herriot);
13114;XIII Metropolitana de Santiago;Las Condes;332.556;9.237;2,78%;1,47%;4,08%;Si;Directa y Sintética (Fay-Herriot);
13115;XIII Metropolitana de Santiago;Lo Barnechea;125.218;6.877;5,49%;3,33%;7,65%;Si;Directa y Sintética (Fay-Herriot);
13116;XIII Metropolitana de Santiago;Lo Espejo;103.662;14.951;14,42%;10,81%;18,04%;Si;Directa y Sintética (Fay-Herriot);
13117;XIII Metropolitana de Santiago;Lo Prado;104.407;14.280;13,68%;10,01%;17,35%;Si;Directa y Sintética (Fay-Herriot);
13118;XIII Metropolitana de Santiago;Macul;135.310;9.403;6,95%;4,54%;9,36%;Si;Directa y Sintética (Fay-Herriot);
13119;XIII Metropolitana de Santiago;Maipú;580.866;40.853;7,03%;5,25%;8,81%;Si;Directa y Sintética (Fay-Herriot);
13120;XIII Metropolitana de Santiago;Ñuñoa;252.463;10.019;3,97%;2,21%;5,72%;Si;Directa y Sintética (Fay-Herriot);
13121;XIII Metropolitana de Santiago;Pedro Aguirre Cerda;107.628;12.616;11,72%;8,44%;15,00%;Si;Directa y Sintética (Fay-Herriot);
13122;XIII Metropolitana de Santiago;Peñalolén;267.750;28.386;10,60%;7,74%;13,46%;Si;Directa y Sintética (Fay-Herriot);
13123;XIII Metropolitana de Santiago;Providencia;158.634;5.755;3,63%;1,69%;5,56%;Si;Directa y Sintética (Fay-Herriot);
13124;XIII Metropolitana de Santiago;Pudahuel;254.584;22.604;8,88%;6,19%;11,56%;Si;Directa y Sintética (Fay-Herriot);
13125;XIII Metropolitana de Santiago;Quilicura;257.713;21.971;8,53%;5,91%;11,14%;Si;Directa y Sintética (Fay-Herriot);
13126;XIII Metropolitana de Santiago;Quinta Normal;137.373;12.583;9,16%;6,50%;11,82%;Si;Directa y Sintética (Fay-Herriot);
13127;XIII Metropolitana de Santiago;Recoleta;191.515;25.365;13,24%;9,90%;16,59%;Si;Directa y Sintética (Fay-Herriot);
13128;XIII Metropolitana de Santiago;Renca;161.297;16.434;10,19%;7,18%;13,20%;Si;Directa y Sintética (Fay-Herriot);
13129;XIII Metropolitana de Santiago;San Joaquín;103.641;12.230;11,80%;8,71%;14,89%;Si;Directa y Sintética (Fay-Herriot);
13130;XIII Metropolitana de Santiago;San Miguel;134.602;7.157;5,32%;3,11%;7,53%;Si;Directa y Sintética (Fay-Herriot);
13131;XIII Metropolitana de Santiago;San Ramón;86.272;11.346;13,15%;9,44%;16,86%;Si;Directa y Sintética (Fay-Herriot);
13132;XIII Metropolitana de Santiago;Vitacura;97.157;3.232;3,33%;1,33%;5,32%;Si;Directa y Sintética (Fay-Herriot);
13201;XIII Metropolitana de Santiago;Puente Alto;649.570;51.876;7,99%;5,89%;10,08%;Si;Directa y Sintética (Fay-Herriot);
13202;XIII Metropolitana de Santiago;Pirque;30.725;2.841;9,25%;6,22%;12,27%;Si;Directa y Sintética (Fay-Herriot);
13203;XIII Metropolitana de Santiago;San José De Maipo;18.747;1.733;9,24%;6,58%;11,91%;Si;Directa y Sintética (Fay-Herriot);
13301;XIII Metropolitana de Santiago;Colina;182.518;15.672;8,59%;5,75%;11,42%;Si;Directa y Sintética (Fay-Herriot);
13302;XIII Metropolitana de Santiago;Lampa;128.752;13.194;10,25%;7,17%;13,32%;Si;Directa y Sintética (Fay-Herriot);
13303;XIII Metropolitana de Santiago;Tiltil;21.588;2.171;10,06%;7,07%;13,04%;Si;Sintética;
13401;XIII Metropolitana de Santiago;San Bernardo;336.441;35.977;10,69%;7,96%;13,43%;Si;Directa y Sintética (Fay-Herriot);
13402;XIII Metropolitana de Santiago;Buin;110.556;9.408;8,51%;5,69%;11,32%;Si;Directa y Sintética (Fay-Herriot);
13403;XIII Metropolitana de Santiago;Calera De Tango;28.742;2.652;9,23%;6,21%;12,24%;Si;Directa y Sintética (Fay-Herriot);
13404;XIII Metropolitana de Santiago;Paine;83.391;9.194;11,02%;8,03%;14,02%;Si;Directa y Sintética (Fay-Herriot);
13501;XIII Metropolitana de Santiago;Melipilla;142.453;12.979;9,11%;6,24%;11,99%;Si;Directa y Sintética (Fay-Herriot);
13502;XIII Metropolitana de Santiago;Alhué;7.463;537;7,19%;4,44%;9,94%;Si;Sintética;
13503;XIII Metropolitana de Santiago;Curacaví;36.661;3.521;9,60%;6,49%;12,71%;Si;Sintética;
13504;XIII Metropolitana de Santiago;María Pinto;15.004;1.549;10,33%;7,31%;13,34%;Si;Directa y Sintética (Fay-Herriot);
13505;XIII Metropolitana de Santiago;San Pedro;12.018;1.597;13,28%;9,16%;17,41%;Si;Sintética;
13601;XIII Metropolitana de Santiago;Talagante;82.268;7.287;8,86%;5,94%;11,77%;Si;Directa y Sintética (Fay-Herriot);
13602;XIII Metropolitana de Santiago;El Monte;40.262;4.742;11,78%;8,47%;15,09%;Si;Directa y Sintética (Fay-Herriot);
13603;XIII Metropolitana de Santiago;Isla De Maipo;40.418;4.633;11,46%;8,15%;14,78%;Si;Sintética;
13604;XIII Metropolitana de Santiago;Padre Hurtado;75.018;6.770;9,02%;6,03%;12,02%;Si;Directa y Sintética (Fay-Herriot);
13605;XIII Metropolitana de Santiago;Peñaflor;101.732;9.144;8,99%;6,17%;11,81%;Si;Directa y Sintética (Fay-Herriot);
14101;XIV de los Ríos;Valdivia;177.298;17.366;9,79%;8,27%;11,32%;Si;Directa y Sintética (Fay-Herriot);
14102;XIV de los Ríos;Corral;5.444;840;15,42%;11,53%;19,32%;Si;Sintética;
14103;XIV de los Ríos;Lanco;17.690;2.519;14,24%;10,86%;17,62%;Si;Directa y Sintética (Fay-Herriot);
14104;XIV de los Ríos;Los Lagos;20.519;2.981;14,53%;11,40%;17,66%;Si;Directa y Sintética (Fay-Herriot);
14105;XIV de los Ríos;Máfil;7.390;1.148;15,53%;12,24%;18,81%;Si;Directa y Sintética (Fay-Herriot);
14106;XIV de los Ríos;Mariquina;23.327;3.456;14,82%;11,37%;18,27%;Si;Directa y Sintética (Fay-Herriot);
14107;XIV de los Ríos;Paillaco;20.817;3.077;14,78%;11,68%;17,89%;Si;Directa y Sintética (Fay-Herriot);
14108;XIV de los Ríos;Panguipulli;36.037;5.072;14,07%;11,11%;17,04%;Si;Directa y Sintética (Fay-Herriot);
14201;XIV de los Ríos;La Unión;39.563;4.944;12,50%;9,93%;15,07%;Si;Directa y Sintética (Fay-Herriot);
14202;XIV de los Ríos;Futrono;15.242;2.415;15,84%;11,98%;19,70%;Si;Sintética;
14203;XIV de los Ríos;Lago Ranco;10.295;1.402;13,62%;10,02%;17,23%;Si;Directa y Sintética (Fay-Herriot);
14204;XIV de los Ríos;Río Bueno;32.919;4.467;13,57%;10,87%;16,28%;Si;Directa y Sintética (Fay-Herriot);
15101;XV de Arica y Parinacota;Arica;248.820;29.251;11,76%;10,29%;13,22%;Si;Directa y Sintética (Fay-Herriot);
15102;XV de Arica y Parinacota;Camarones;1.236;284;22,94%;15,76%;30,12%;Si;Sintética;
15201;XV de Arica y Parinacota;Putre;2.124;434;20,45%;14,40%;26,49%;Si;Sintética;
15202;XV de Arica y Parinacota;General Lagos;674;174;25,88%;18,70%;33,07%;No;Sintética;
16101;XVI de Ñuble;Chillán;199.229;27.322;13,71%;11,16%;16,27%;Si;Directa y Sintética (Fay-Herriot);
16102;XVI de Ñuble;Bulnes;22.628;3.475;15,36%;11,40%;19,32%;Si;Directa y Sintética (Fay-Herriot);
16103;XVI de Ñuble;Chillán Viejo;34.028;4.966;14,59%;11,12%;18,06%;Si;Directa y Sintética (Fay-Herriot);
16104;XVI de Ñuble;El Carmen;12.324;2.108;17,11%;13,03%;21,19%;Si;Directa y Sintética (Fay-Herriot);
16105;XVI de Ñuble;Pemuco;8.631;1.427;16,54%;12,58%;20,49%;Si;Directa y Sintética (Fay-Herriot);
16106;XVI de Ñuble;Pinto;11.913;1.888;15,84%;11,92%;19,77%;Si;Directa y Sintética (Fay-Herriot);
16107;XVI de Ñuble;Quillón;18.843;3.168;16,81%;12,67%;20,95%;Si;Directa y Sintética (Fay-Herriot);
16108;XVI de Ñuble;San Ignacio;16.635;3.107;18,68%;14,60%;22,75%;Si;Directa y Sintética (Fay-Herriot);
16109;XVI de Ñuble;Yungay;18.626;2.115;11,36%;7,93%;14,78%;Si;Directa y Sintética (Fay-Herriot);
16201;XVI de Ñuble;Quirihue;12.204;1.816;14,88%;11,13%;18,63%;Si;Directa y Sintética (Fay-Herriot);
16202;XVI de Ñuble;Cobquecura;5.266;1.009;19,16%;14,57%;23,76%;Si;Sintética;
16203;XVI de Ñuble;Coelemu;16.856;2.124;12,60%;9,01%;16,19%;Si;Directa y Sintética (Fay-Herriot);
16204;XVI de Ñuble;Ninhue;5.404;760;14,06%;9,93%;18,19%;Si;Directa y Sintética (Fay-Herriot);
16205;XVI de Ñuble;Portezuelo;4.942;861;17,42%;12,97%;21,88%;Si;Sintética;
16206;XVI de Ñuble;Ránquil;6.261;956;15,28%;11,35%;19,20%;Si;Sintética;
16207;XVI de Ñuble;Treguaco;5.710;1.082;18,95%;13,81%;24,09%;Si;Sintética;
16301;XVI de Ñuble;San Carlos;56.350;8.172;14,50%;11,01%;17,99%;Si;Directa y Sintética (Fay-Herriot);
16302;XVI de Ñuble;Coihueco;28.464;4.749;16,69%;12,70%;20,67%;Si;Directa y Sintética (Fay-Herriot);
16303;XVI de Ñuble;Ñiquén;11.566;2.219;19,18%;15,45%;22,92%;Si;Directa y Sintética (Fay-Herriot);
16304;XVI de Ñuble;San Fabián;4.674;875;18,72%;14,20%;23,24%;Si;Sintética;
16305;XVI de Ñuble;San Nicolás;12.207;1.243;10,18%;5,93%;14,44%;Si;Directa y Sintética (Fay-Herriot);
La metodología de áreas pequeñas busca realizar estimaciones a nivel comunal. Para estimaciones a nivel regional y nacional, se deben utilizar las estadísticas oficiales publicadas a partir de Casen (http://observatorio.ministeriodesarrollosocial.gob.cl/encuesta-casen-en-pandemia-2020).;;;;;;;;;;
(*) Proyecciones de población comunal en viviendas particulares al 30 de noviembre de 2020 según el Censo de Población y Vivienda 2017.;;;;;;;;;;
(**) Este número se obtiene de multiplicar las proyecciones de población de cada comuna por su respectiva estimación de pobreza comunal según la metodología de áreas pequeñas.;;;;;;;;;;
(***) Las estimaciones para área pequeña asignan una estimación de pobreza para todas las comunas del país. En el caso de comunas sin presencia en Casen o con presencia en Casen pero que no cumplen los criterios de inclusión, se asigna como tasa de pobreza SAE la estimación sintética. El resto de las comunas tiene una tasa de pobreza SAE que pondera las estimación directa de Casen y sintética, conocidas como estimaciones Fay-Herriot.;;;;;;;;;;
